Date,Strategy Return,MACD Return,RSI Return,BB Return,Buy & Hold Returns
2016-06-29,-0.0167894089734393,0.0,0.0,0.0,-0.0167894089734393
2016-07-07,0.016275411086647765,0.0,0.0,0.0,0.016275411086647765
2016-07-14,-0.08546861966319709,-0.08546861966319709,0.0,0.0,-0.08546861966319709
2016-07-21,-0.00222382196428292,0.0,0.0,0.0,-0.00222382196428292
2016-07-28,-0.005289727402567256,0.0,0.0,0.0,-0.005289727402567256
2016-08-04,0.005158760209661995,0.005158760209661995,0.0,0.0,0.005158760209661995
2016-08-11,-0.05343748851177995,-0.05343748851177995,0.0,0.0,-0.05343748851177995
2016-08-19,0.0,0.0,-0.0010268968871118514,0.0,-0.0010268968871118514
2016-08-26,0.011316427248332182,0.011316427248332182,0.0,0.011316427248332182,0.011316427248332182
2016-09-02,0.021242644632304783,0.021242644632304783,0.0,0.021242644632304783,0.021242644632304783
2016-09-12,-0.0036596038275790786,-0.0036596038275790786,0.0,-0.0036596038275790786,-0.0036596038275790786
2016-09-20,-0.00995416992687649,-0.00995416992687649,0.0,-0.00995416992687649,-0.00995416992687649
2016-09-27,0.009051582127351441,0.009051582127351441,0.0,0.009051582127351441,0.009051582127351441
2016-10-04,0.0029926931615235357,0.0029926931615235357,0.0,0.0029926931615235357,0.0029926931615235357
2016-10-13,-0.015034394597272868,-0.015034394597272868,0.0,-0.015034394597272868,-0.015034394597272868
2016-10-20,-0.032510496018212556,-0.032510496018212556,0.0,0.0,-0.032510496018212556
2016-10-27,-0.03720350479680509,0.0,0.0,0.0,-0.03720350479680509
2016-11-03,0.0,0.0,-0.028786421664217843,0.0,-0.028786421664217843
2016-11-10,0.0,0.0,-0.020880844516463846,0.0,-0.020880844516463846
2016-11-18,0.0606362217352355,0.0,0.0606362217352355,0.0,0.0606362217352355
2016-11-25,-0.013390415875610134,-0.013390415875610134,0.0,0.0,-0.013390415875610134
2016-12-02,0.025422824728287413,0.025422824728287413,0.0,0.025422824728287413,0.025422824728287413
2016-12-09,0.01584800002006863,0.01584800002006863,0.0,0.01584800002006863,0.01584800002006863
2016-12-16,-0.01674491591279912,-0.01674491591279912,0.0,-0.01674491591279912,-0.01674491591279912
2016-12-23,0.022165091787270438,0.022165091787270438,0.0,0.022165091787270438,0.022165091787270438
2016-12-30,-0.03869745278262166,-0.03869745278262166,0.0,0.0,-0.03869745278262166
2017-01-06,0.0036424635151918417,0.0,0.0,0.0,0.0036424635151918417
2017-01-13,-0.02815730169046133,0.0,0.0,0.0,-0.02815730169046133
2017-01-20,0.0006797086011175192,0.0,0.0,0.0,0.0006797086011175192
2017-01-30,-0.014953589655150699,0.0,0.0,0.0,-0.014953589655150699
2017-02-06,0.05115210845784106,0.0,0.0,0.0,0.05115210845784106
2017-02-13,0.025974961305835535,0.025974961305835535,0.0,0.0,0.025974961305835535
2017-02-20,0.002132770718451051,0.002132770718451051,0.0,0.0,0.002132770718451051
2017-02-28,0.007280839202087173,0.007280839202087173,0.0,0.007280839202087173,0.007280839202087173
2017-03-07,-0.007718981485842987,-0.007718981485842987,0.0,-0.007718981485842987,-0.007718981485842987
2017-03-15,0.01543768243145761,0.0,0.0,0.01543768243145761,0.01543768243145761
2017-03-22,0.00403250032589013,0.0,0.0,0.0,0.00403250032589013
2017-03-29,-0.03175626059944914,0.0,0.0,0.0,-0.03175626059944914
2017-04-06,-0.07066085163589662,0.0,0.0,0.0,-0.07066085163589662
2017-04-13,0.0,0.0,-0.008301868865638612,0.0,-0.008301868865638612
2017-04-21,-0.005163560318552027,0.0,0.0,0.0,-0.005163560318552027
2017-04-28,0.02848037150610074,0.0,0.0,0.0,0.02848037150610074
2017-05-08,0.006375675101588423,0.006375675101588423,0.0,0.0,0.006375675101588423
2017-05-15,0.010347935833668949,0.010347935833668949,0.0,0.010347935833668949,0.010347935833668949
2017-05-22,0.024357602926940617,0.024357602926940617,0.0,0.024357602926940617,0.024357602926940617
2017-05-29,-0.027171075850246,-0.027171075850246,0.0,-0.027171075850246,-0.027171075850246
2017-06-05,0.005305385969799925,0.005305385969799925,0.0,0.005305385969799925,0.005305385969799925
2017-06-12,-0.035898342747619744,0.0,0.0,-0.035898342747619744,-0.035898342747619744
2017-06-19,-0.003017903437975272,0.0,0.0,0.0,-0.003017903437975272
2017-06-27,0.03715789355973417,0.0,0.0,0.0,0.03715789355973417
2017-07-04,0.013629717315100716,0.013629717315100716,0.0,0.0,0.013629717315100716
2017-07-11,0.01044438861683022,0.01044438861683022,0.0,0.0,0.01044438861683022
2017-07-18,0.00835069417448255,0.00835069417448255,0.0,0.0,0.00835069417448255
2017-07-25,0.011695332225449752,0.011695332225449752,0.0,0.011695332225449752,0.011695332225449752
2017-08-01,-0.04236177970600239,-0.04236177970600239,0.0,-0.04236177970600239,-0.04236177970600239
2017-08-08,0.011726681287273787,0.0,0.0,0.0,0.011726681287273787
2017-08-16,-0.08828624699583319,0.0,0.0,0.0,-0.08828624699583319
2017-08-23,0.024510867006151172,0.0,0.0,0.0,0.024510867006151172
2017-08-31,-0.0212198332217821,0.0,0.0,0.0,-0.0212198332217821
2017-09-07,-0.003742704975426318,0.0,0.0,0.0,-0.003742704975426318
2017-09-14,0.01904052332072292,0.0,0.0,0.0,0.01904052332072292
2017-09-21,-0.015005305545775944,-0.015005305545775944,0.0,0.0,-0.015005305545775944
2017-09-28,0.026595422947382038,0.026595422947382038,0.0,0.026595422947382038,0.026595422947382038
2017-10-06,0.010742365279229022,0.010742365279229022,0.0,0.010742365279229022,0.010742365279229022
