Date,Price,Open,High,Low,Volume,
26-Feb-09,299.42,294.74,303,289.85,8.63M,
27-Feb-09,293.13,297.35,297.35,286.95,7.11M,
2-Mar-09,283.17,290.47,290.47,280.96,8.08M,
3-Mar-09,275.98,286.86,286.86,272.86,10.73M,
4-Mar-09,275.75,277.29,278.67,270.45,7.51M,
5-Mar-09,270.75,278.67,278.67,263.98,9.43M,
6-Mar-09,276.49,267.65,277.98,261.7,7.20M,
9-Mar-09,269.83,270.95,275.78,267.21,4.73M,
12-Mar-09,251.79,286.33,286.33,248.41,32.40M,
13-Mar-09,256.01,256.49,261.64,250.23,32.06M,
16-Mar-09,262.28,258.01,264.8,256.86,13.62M,
17-Mar-09,262.39,263.98,268.48,259.16,9.21M,
18-Mar-09,261.57,263.86,265.68,255.71,20.29M,
19-Mar-09,262,263.63,264.39,259.27,7.20M,
20-Mar-09,261.41,261.68,263.06,253.88,8.70M,
23-Mar-09,272.33,262.6,275.45,260.95,12.42M,
24-Mar-09,277.15,275.43,285.42,273.48,9.99M,
25-Mar-09,271.32,273.16,278.67,267.28,10.35M,
26-Mar-09,285.48,271.78,286.93,267.95,15.19M,
27-Mar-09,285.48,286.98,291.91,279.59,8.96M,
30-Mar-09,279.88,267.49,283.9,267.49,6.84M,
31-Mar-09,287.28,283.92,292.67,281.77,11.53M,
1-Apr-09,282.27,287.57,287.57,272.7,17.32M,
2-Apr-09,293.22,286.93,298.18,284.93,9.94M,
6-Apr-09,302.88,296.34,308.28,294.76,8.88M,
8-Apr-09,304.05,296.11,308.51,286.63,12.97M,
9-Apr-09,305.78,306.67,316.77,303,7.43M,
13-Apr-09,304.51,307.13,311.95,299.56,6.53M,
15-Apr-09,314.5,303,315.85,299.42,9.33M,
16-Apr-09,306.58,316.63,323.61,305.29,9.79M,
17-Apr-09,312.43,309.89,317.69,306.76,12.57M,
20-Apr-09,315.95,312.92,319.3,305.91,6.75M,
21-Apr-09,330.31,307.59,338.35,307.59,12.91M,
22-Apr-09,327.15,335.09,335.09,320.44,10.26M,
