Date,Price,Open,High,Low,Volume,
7-Sep-09,146.41,145.68,147.27,144.5,7.62M,
8-Sep-09,145.36,147.14,147.87,144.68,7.41M,
9-Sep-09,147.22,146.15,147.87,145.24,13.55M,
10-Sep-09,148.23,148.67,149.97,147.67,8.89M,
11-Sep-09,148.79,148.67,149.28,146.13,7.22M,
14-Sep-09,149.05,148.79,150.07,148.07,6.23M,
15-Sep-09,151.09,149.17,151.49,148.88,10.88M,
16-Sep-09,151.34,152.66,153.16,150.24,11.58M,
17-Sep-09,153.15,152.39,153.56,151.73,12.06M,
18-Sep-09,152.11,153.26,153.43,150.76,4.11M,
22-Sep-09,154.29,151.66,154.66,151.26,6.73M,
23-Sep-09,156.61,155.15,159.53,152.81,13.07M,
24-Sep-09,162.02,154.25,163.31,154.25,22.23M,
25-Sep-09,160.5,159.92,162.06,158.85,5.62M,
29-Sep-09,160.78,162.04,163.12,159.75,3.89M,
30-Sep-09,164.68,161.24,165.63,160.06,11.99M,
1-Oct-09,164.06,163.64,166.47,161.67,8.65M,
5-Oct-09,163.04,161.74,164.13,161.34,5.48M,
6-Oct-09,165.6,165.53,166.12,160.13,5.75M,
7-Oct-09,167.4,167.03,170.62,166.63,10.84M,
8-Oct-09,168.36,165.63,169.11,164.63,8.40M,
9-Oct-09,167.19,165.63,168.62,165.63,4.50M,
12-Oct-09,169.85,165.93,170.62,164.13,7.80M,
14-Oct-09,169.84,170.12,172.52,168.24,7.82M,
15-Oct-09,171.85,170.66,173.11,169.03,9.39M,
16-Oct-09,171.58,172.82,173.49,170.85,8.26M,
17-Oct-09,169.94,168.73,173.51,168.73,720.70K,
20-Oct-09,168.75,167.89,171.62,167.63,4.69M,
21-Oct-09,165.74,165.63,169.83,164.72,6.42M,
22-Oct-09,166.23,163.74,167.33,163.64,3.79M,
23-Oct-09,168.81,167.13,169.52,165.75,3.79M,
26-Oct-09,168.91,166.73,169.32,166.13,4.08M,
27-Oct-09,166.64,165.63,169.62,165.63,9.58M,
28-Oct-09,161.6,165.63,166.61,160.16,6.66M,
29-Oct-09,160.96,160.14,163.58,156.68,10.25M,
30-Oct-09,161.71,161.84,168.43,160.19,7.65M,
3-Nov-09,159.69,161.32,163.59,158.05,4.75M,
