Date,Price,Open,High,Low,Volume,
15-Apr-09,8.94,7.82,9.4,7.77,247.79K,
16-Apr-09,8.44,9.52,9.72,8.36,137.05K,
17-Apr-09,8.21,8.45,9.12,8.06,1.36M,
20-Apr-09,8.2,7.98,8.45,7.98,64.74K,
21-Apr-09,8.77,7.97,9.02,7.97,110.11K,
22-Apr-09,8.84,9.13,9.33,8.61,55.70K,
23-Apr-09,8.95,8.26,9.06,8.26,307.97K,
24-Apr-09,9.05,8.84,9.33,8.75,108.41K,
27-Apr-09,9.11,8.74,9.28,8.74,19.94K,
28-Apr-09,9.02,9.08,9.17,8.84,35.25K,
29-Apr-09,8.8,8.99,9.12,8.66,60.69K,
4-May-09,9.28,9.07,9.62,8.95,82.78K,
5-May-09,9.45,8.85,10.22,8.85,266.85K,
6-May-09,9.2,9.18,9.72,9.13,58.40K,
7-May-09,9.29,9.62,9.63,9.23,51.28K,
8-May-09,9.24,9.23,9.7,8.84,43.03K,
11-May-09,8.87,9.42,9.42,8.77,70.27K,
12-May-09,9.14,8.89,9.32,8.84,44.55K,
13-May-09,8.81,9.04,9.23,8.74,53.84K,
14-May-09,9.14,8.94,9.3,8.65,93.13K,
15-May-09,9.07,9.52,9.52,8.99,48.60K,
19-May-09,10.89,9.82,10.89,9.23,343.88K,
20-May-09,12.3,11.66,12.63,11.46,1.17M,
21-May-09,12.4,13.01,13.31,12.19,501.22K,
22-May-09,12.65,12.24,13.02,12.24,202.94K,
25-May-09,12.48,12.92,13.12,12.24,134.21K,
26-May-09,11.88,12.73,12.73,11.66,67.45K,
27-May-09,12.29,12.05,12.92,12.05,186.59K,
28-May-09,12.26,12.62,12.71,12.05,98.19K,
29-May-09,13.48,12.44,13.49,12.2,450.30K,
1-Jun-09,14.83,14.45,14.83,14.19,494.53K,
2-Jun-09,16.31,15.85,16.31,15.85,154.86K,
3-Jun-09,17.13,17.13,17.13,16.92,209.04K,
4-Jun-09,16.98,17.97,17.98,16.32,458.01K,
5-Jun-09,17.34,17.11,17.68,16.13,5.96M,
8-Jun-09,17.15,18.21,18.21,16.71,1.76M,
9-Jun-09,16.52,17.01,17.17,16.3,638.25K,
10-Jun-09,16.06,17.2,17.2,15.76,129.84K,
11-Jun-09,15.45,16.06,16.23,15.26,304.92K,
12-Jun-09,15.02,15.55,15.57,14.68,157.16K,
15-Jun-09,15.5,14.85,15.77,14.85,347.66K,
16-Jun-09,15.59,15.16,16,15.06,556.72K,
17-Jun-09,15.53,15.84,16.13,15.45,193.58K,
18-Jun-09,15.55,15.53,15.74,15.17,353.88K,
19-Jun-09,15.09,15.64,15.74,14.77,89.89K,
22-Jun-09,15.27,14.79,15.74,14.67,76.67K,
23-Jun-09,14.53,15.35,15.52,14.51,2.69M,
24-Jun-09,15.1,14.92,15.26,14.48,141.72K,
