Date,Price,Open,High,Low,Volume,
23-Mar-09,356.24,335.32,359.1,335.32,20.07M,
24-Mar-09,359.7,359.11,365.29,356.62,27.85M,
25-Mar-09,379.45,359.1,383.61,359.1,38.63M,
26-Mar-09,387.7,383.79,391.04,377.17,33.17M,
27-Mar-09,383.55,384.85,392.13,380.15,27.23M,
30-Mar-09,375.55,376.7,380.15,370.24,27.74M,
31-Mar-09,377.61,380.15,384.34,375.19,23.07M,
1-Apr-09,391.6,377.17,394.76,370.82,19.29M,
2-Apr-09,411.44,398.72,416.06,396.8,22.16M,
6-Apr-09,413.98,421.01,431.48,407.54,21.24M,
8-Apr-09,427.24,406.14,430.67,397.48,37.13M,
9-Apr-09,429.86,433.39,437.81,422.31,20.97M,
13-Apr-09,439.22,435.86,443.05,426.71,15.36M,
15-Apr-09,453.22,433.39,455.61,429.22,24.42M,
16-Apr-09,429.68,448.52,455.68,425.55,26.73M,
17-Apr-09,425.21,433.42,440.98,421.59,25.92M,
20-Apr-09,424.82,425.96,434.56,418.11,19.91M,
21-Apr-09,422.52,419.77,429.34,417.22,20.20M,
22-Apr-09,425.47,425.96,429.18,418.78,17.86M,
23-Apr-09,436.78,425.22,439.56,420.02,17.12M,
24-Apr-09,443.01,433.39,446.27,427.7,22.11M,
27-Apr-09,442.2,443.55,447.51,436.12,16.95M,
28-Apr-09,430.21,441.07,443.79,428.69,16.25M,
29-Apr-09,447.32,433.64,450.73,432.36,17.25M,
4-May-09,467.35,458.4,469.3,455.75,17.30M,
5-May-09,466.49,466.82,469.23,454.69,19.70M,
6-May-09,465.96,467.82,479.98,460.63,19.71M,
7-May-09,474.39,458.16,476.71,458.16,14.84M,
8-May-09,470.61,475.49,478.46,464.35,16.09M,
11-May-09,461.03,475.25,477.47,458.18,15.17M,
12-May-09,485.37,458.14,489.21,456.42,18.52M,
13-May-09,478.71,488.43,489.11,472.03,21.10M,
14-May-09,472.76,471.1,477.35,465.64,16.34M,
15-May-09,483.1,474.25,485.4,473.42,12.73M,
18-May-09,586.33,531.71,627.8,520.38,213.28K,
19-May-09,552.49,606.75,619.13,544.84,42.29M,
20-May-09,533.06,544.84,557.89,529.04,27.24M,
21-May-09,523.9,531.21,539.14,520.7,16.06M,
22-May-09,541.31,520.02,546.62,517.84,17.95M,
25-May-09,543.54,544.84,548.55,533.44,12.53M,
26-May-09,530.65,539.91,547.06,527.62,10.03M,
27-May-09,541.46,537.9,546.07,533.06,21.10M,
28-May-09,549.92,539.88,556.23,539.88,18.16M,
29-May-09,562.64,555.93,571.51,548.05,25.83M,
1-Jun-09,565.19,577.03,577.03,558.74,12.02M,
2-Jun-09,564.45,569.63,571.69,550.79,13.32M,
3-Jun-09,556.2,560.02,571.46,551.15,13.88M,
4-Jun-09,560.13,550.98,561.89,534.93,15.59M,
5-Jun-09,547.99,563.41,564.9,542.36,18.89M,
8-Jun-09,543.35,546.57,560.14,538.89,15.26M,
9-Jun-09,562.7,541.86,567.37,538.64,16.77M,
10-Jun-09,574.6,567.37,579.48,566.17,16.01M,
11-Jun-09,570.41,574.55,575.79,565.27,10.26M,
12-Jun-09,584.98,572.08,589.17,570.9,19.85M,
15-Jun-09,539.59,584.39,584.39,536.24,28.83M,
16-Jun-09,530.81,532.45,541.1,526.66,20.71M,
17-Jun-09,508.02,526.46,539.39,504.31,19.87M,
18-Jun-09,501.51,509.67,513.26,492.85,25.06M,
19-Jun-09,505.58,506.45,510.77,489.63,19.59M,
22-Jun-09,483.54,507.12,507.69,478.6,18.66M,
23-Jun-09,499.09,470.54,503.65,470.54,24.01M,
24-Jun-09,495.89,501.5,504.16,488.38,19.02M,
25-Jun-09,484.93,495.6,501.25,481.05,21.55M,
26-Jun-09,502.54,486.92,504.47,486.13,16.07M,
29-Jun-09,516.85,501.74,523.26,496.48,15.05M,
30-Jun-09,501.1,520.07,522.37,497.93,12.04M,
1-Jul-09,509.87,502.71,516.36,492.33,15.01M,
2-Jul-09,498.12,540.63,540.63,494.15,15.55M,
3-Jul-09,502.15,495.31,504,490.35,17.50M,
6-Jul-09,468.84,507.19,508.18,460.89,23.92M,
7-Jul-09,459.51,470.79,473.76,452.02,23.56M,
8-Jul-09,453.12,459.51,468.06,445.11,23.30M,
9-Jul-09,459,454.44,464.32,453.23,14.89M,
10-Jul-09,439.62,458.9,462.35,432.15,16.96M,
13-Jul-09,433.63,433.32,437.97,425.24,16.76M,
14-Jul-09,449.25,439.34,451.97,437.35,14.94M,
15-Jul-09,464.67,458.16,468.06,447.4,12.82M,
16-Jul-09,479.31,470.79,487.48,465.59,22.32M,
17-Jul-09,479.72,481.71,486.88,476.81,13.35M,
20-Jul-09,503.55,485.4,504.96,482.92,16.63M,
21-Jul-09,499.92,517.27,517.27,497.13,12.45M,
22-Jul-09,489.29,501.5,509.57,486.04,12.70M,
23-Jul-09,505.59,492.83,508.63,492.09,11.97M,
24-Jul-09,499.48,507.69,512,491.86,17.11M,
27-Jul-09,480.61,482.92,494.07,472.19,24.30M,
28-Jul-09,472.42,482.18,485.32,466.97,23.24M,
29-Jul-09,478.07,470.54,479.95,463.36,19.25M,
30-Jul-09,470.61,475.49,476.83,467.82,12.43M,
31-Jul-09,484.26,474.25,489.09,473.33,14.10M,
3-Aug-09,499.52,487.6,502.98,484.93,11.06M,
4-Aug-09,505.15,503.48,508.43,495.92,15.50M,
5-Aug-09,514.23,503.97,516.11,503.13,15.36M,
6-Aug-09,506.9,506.12,526.26,501.83,19.85M,
7-Aug-09,494.75,504.34,511.15,492.88,16.15M,
10-Aug-09,492.36,502.85,503.91,488.62,12.17M,
11-Aug-09,495.4,493.57,507.2,490.1,12.68M,
12-Aug-09,493,489.1,495.31,481.26,13.83M,
13-Aug-09,501.32,501.5,506.23,494.56,12.24M,
14-Aug-09,504.33,501.99,511.15,497.04,13.50M,
17-Aug-09,480.93,497.53,497.78,476.73,13.86M,
18-Aug-09,480.74,476.41,484.46,475.53,12.01M,
19-Aug-09,467.04,480.45,482.9,463.36,13.45M,
20-Aug-09,470.14,470.54,477.72,467.7,9.50M,
21-Aug-09,477.67,467.57,479.21,462.52,12.16M,
24-Aug-09,488.94,485.4,490.57,482.58,10.22M,
25-Aug-09,501.66,486.69,503.48,484.3,13.12M,
26-Aug-09,505.25,501.76,506.87,498.09,10.15M,
27-Aug-09,505.79,503.73,509.92,500.26,11.85M,
28-Aug-09,513.66,507.69,515.12,501.63,10.10M,
31-Aug-09,496.57,511.15,511.15,494.07,14.56M,
1-Sep-09,490.56,501.45,505.71,486.74,10.49M,
2-Sep-09,488.16,487.63,494.78,485.4,11.01M,
3-Sep-09,478.17,490.35,492.14,476.31,12.21M,
4-Sep-09,490.64,479.95,493.82,479.21,11.70M,
7-Sep-09,496.01,491.59,497.52,489.49,10.42M,
8-Sep-09,514.03,499.02,518.68,496.63,24.03M,
9-Sep-09,537.02,513.88,538.52,510.66,24.26M,
10-Sep-09,531.82,542.37,554.72,528.14,16.46M,
11-Sep-09,530.19,536.17,537.73,521.31,14.48M,
14-Sep-09,529.85,528.74,534.71,522.92,8.79M,
15-Sep-09,540.11,530.47,540.87,530.47,8.71M,
16-Sep-09,540.87,543.84,549.47,535.82,8.95M,
17-Sep-09,516.64,541.12,544.84,512.89,66.95M,
18-Sep-09,520.7,515.12,523.29,513.9,11.87M,
22-Sep-09,519.56,527.18,529.9,517.12,10.62M,
23-Sep-09,520.49,519.33,526.26,517.59,11.24M,
