Date,Strategy Return,MACD Return,RSI Return,BB Return,Buy & Hold Returns
2011-03-21,0.044831897977623346,0.0,0.0,0.0,0.044831897977623346
2011-03-28,0.08001140177649893,0.08001140177649893,0.0,0.0,0.08001140177649893
2011-04-04,-0.02910757979753173,-0.02910757979753173,0.0,0.0,-0.02910757979753173
2011-04-11,0.03363956697303445,0.03363956697303445,0.0,0.0,0.03363956697303445
2011-04-20,-0.0505357839758054,0.0,0.0,0.0,-0.0505357839758054
2011-04-28,-0.038401423630175534,0.0,0.0,0.0,-0.038401423630175534
2011-05-05,-0.0029213399387100513,0.0,0.0,0.0,-0.0029213399387100513
2011-05-12,0.04665468293698622,0.0,0.0,0.0,0.04665468293698622
2011-05-19,-0.025287254647395587,-0.025287254647395587,0.0,0.0,-0.025287254647395587
2011-05-26,0.027774066949106294,0.0,0.0,0.0,0.027774066949106294
2011-06-02,0.01580573597018446,0.01580573597018446,0.0,0.0,0.01580573597018446
2011-06-09,-0.03011811343349269,-0.03011811343349269,0.0,0.0,-0.03011811343349269
2011-06-16,-0.04818566059956524,-0.04818566059956524,0.0,0.0,-0.04818566059956524
2011-06-23,0.07648600484358827,0.0,0.0,0.0,0.07648600484358827
2011-06-30,0.009835830946972704,0.009835830946972704,0.0,0.0,0.009835830946972704
2011-07-07,-0.06227059856682295,-0.06227059856682295,0.0,0.0,-0.06227059856682295
2011-07-14,-0.0010145075436428454,0.0,0.0,0.0,-0.0010145075436428454
2011-07-21,0.006200058496408125,0.0,0.0,0.0,0.006200058496408125
2011-07-28,-0.03027600451203511,0.0,0.0,-0.03027600451203511,-0.03027600451203511
2011-08-04,-0.11342321309351638,0.0,0.0,0.0,-0.11342321309351638
2011-08-11,-0.05180051391578605,0.0,-0.05180051391578605,0.0,-0.05180051391578605
2011-08-19,0.020768101298026084,0.0,0.020768101298026084,0.0,0.020768101298026084
2011-08-26,0.08625023524031443,0.0,0.0,0.0,0.08625023524031443
2011-09-06,-0.03960711408994053,-0.03960711408994053,0.0,0.0,-0.03960711408994053
2011-09-13,0.06260437411203415,0.06260437411203415,0.0,0.06260437411203415,0.06260437411203415
2011-09-20,-0.016585765317679232,-0.016585765317679232,0.0,-0.016585765317679232,-0.016585765317679232
2011-09-27,0.005182953567396205,0.005182953567396205,0.0,0.005182953567396205,0.005182953567396205
2011-10-04,0.03116051435578766,0.03116051435578766,0.0,0.03116051435578766,0.03116051435578766
2011-10-12,-0.028292661004251082,-0.028292661004251082,0.0,0.0,-0.028292661004251082
2011-10-19,0.04378089746042134,0.04378089746042134,0.0,0.0,0.04378089746042134
2011-10-26,0.00826458764391938,0.00826458764391938,0.0,0.0,0.00826458764391938
2011-11-03,0.020964350524513283,0.020964350524513283,0.0,0.0,0.020964350524513283
2011-11-14,-0.05575975787550881,-0.05575975787550881,0.0,0.0,-0.05575975787550881
2011-11-21,0.0197592343813223,0.0,0.0,0.0,0.0197592343813223
2011-11-28,0.08152613351754073,0.0,0.0,0.0,0.08152613351754073
2011-12-05,-0.0019139433942435685,-0.0019139433942435685,0.0,0.0,-0.0019139433942435685
2011-12-13,-0.03923336790151879,-0.03923336790151879,0.0,0.0,-0.03923336790151879
2011-12-20,0.03986590121845833,0.0,0.0,0.0,0.03986590121845833
2011-12-27,0.01526960119690543,0.0,0.0,0.0,0.01526960119690543
2012-01-03,-0.022161135702684135,0.0,0.0,0.0,-0.022161135702684135
2012-01-09,-0.05433156784688097,0.0,0.0,0.0,-0.05433156784688097
2012-01-16,-0.028986987644355883,0.0,0.0,0.0,-0.028986987644355883
2012-01-23,0.049502992035222404,0.0,0.0,0.0,0.049502992035222404
2012-01-31,0.056322612199609906,0.056322612199609906,0.0,0.0,0.056322612199609906
2012-02-07,0.018198209510283458,0.018198209510283458,0.0,0.0,0.018198209510283458
2012-02-14,0.02616182256468291,0.02616182256468291,0.0,0.0,0.02616182256468291
2012-02-22,-0.02456689883381266,-0.02456689883381266,0.0,-0.02456689883381266,-0.02456689883381266
2012-02-29,-0.016461206706563432,0.0,0.0,-0.016461206706563432,-0.016461206706563432
2012-03-06,-0.04028641239934123,0.0,0.0,-0.04028641239934123,-0.04028641239934123
2012-03-14,0.018207536877643496,0.0,0.0,0.0,0.018207536877643496
2012-03-21,-0.009115672053595312,0.0,0.0,0.0,-0.009115672053595312
2012-03-28,0.0114036401049568,0.0,0.0,0.0,0.0114036401049568
2012-04-04,-0.09809338975445998,-0.09809338975445998,0.0,0.0,-0.09809338975445998
2012-04-13,0.01865406750140387,0.0,0.0,0.0,0.01865406750140387
2012-04-20,0.10088343576904012,0.0,0.0,0.10088343576904012,0.10088343576904012
2012-04-27,0.05870677068010732,0.05870677068010732,0.0,0.05870677068010732,0.05870677068010732
2012-05-04,-0.03673609327181674,-0.03673609327181674,0.0,-0.03673609327181674,-0.03673609327181674
2012-05-11,-0.016462534272689552,-0.016462534272689552,0.0,0.0,-0.016462534272689552
2012-05-18,0.00834999654067471,0.0,0.0,0.00834999654067471,0.00834999654067471
2012-05-25,0.003117589783636974,0.0,0.0,0.003117589783636974,0.003117589783636974
2012-06-01,0.005129600880648693,0.0,0.0,0.0,0.005129600880648693
2012-06-08,0.03318824585472403,0.0,0.0,0.0,0.03318824585472403
2012-06-15,-0.031120236206776397,-0.031120236206776397,0.0,0.0,-0.031120236206776397
2012-06-22,0.03505251516802902,0.0,0.0,0.0,0.03505251516802902
2012-06-29,-0.023530111286923904,-0.023530111286923904,0.0,0.0,-0.023530111286923904
