Date	Price	Open	High	Low	Volume	Change %
29-Jun-09	176.51	175.5	178	173.56	23.88M	0.90%
30-Jun-09	174.53	178.3	178.31	173.31	23.20M	-1.12%
1-Jul-09	177.96	173.1	179.4	172.11	17.93M	1.97%
2-Jul-09	175.94	178.5	179	173.22	15.76M	-1.14%
3-Jul-09	180.97	174.4	182.2	173.1	20.75M	2.86%
6-Jul-09	165.35	180	183.99	163.31	38.15M	-8.63%
7-Jul-09	163.63	168	169.7	161.91	35.62M	-1.04%
8-Jul-09	158.07	162.99	162.99	156.65	38.78M	-3.40%
9-Jul-09	160.41	158.5	162.48	157.01	27.93M	1.48%
10-Jul-09	154.37	160.9	161.8	153.1	18.08M	-3.77%
13-Jul-09	154.66	153.5	157.4	151.06	19.03M	0.19%
14-Jul-09	158.26	157	159	156.69	15.30M	2.33%
15-Jul-09	163.7	159	164.78	158.6	14.26M	3.44%
16-Jul-09	160.42	165.2	166	159.53	17.09M	-2.00%
17-Jul-09	167.4	162	168.3	161.7	18.38M	4.35%
20-Jul-09	172.29	168	173.94	164.1	22.84M	2.92%
21-Jul-09	171.16	172.2	174	168	20.47M	-0.66%
22-Jul-09	169.39	172	174.7	168.31	18.26M	-1.03%
23-Jul-09	172.72	171	174	170.25	16.20M	1.97%
24-Jul-09	169.86	174	174.5	169.11	16.01M	-1.66%
27-Jul-09	171.13	171	172.8	169.5	13.47M	0.75%
28-Jul-09	168.18	174.08	174.08	167.22	18.23M	-1.72%
29-Jul-09	165.68	165.2	167.99	162.13	22.37M	-1.49%
30-Jul-09	172.28	166.09	174.4	165.01	35.45M	3.98%
31-Jul-09	181.16	174.1	182.22	174	37.30M	5.15%
3-Aug-09	184.71	182	186.4	180.1	20.45M	1.96%
4-Aug-09	185.75	187	188.8	183.63	21.14M	0.56%
5-Aug-09	184.35	185.5	187.37	183.03	16.06M	-0.75%
6-Aug-09	179.66	184.3	185.5	178.9	21.40M	-2.54%
7-Aug-09	174.33	177.07	180	172	18.47M	-2.97%
10-Aug-09	171.09	179.74	179.74	170	15.17M	-1.86%
11-Aug-09	172.93	171.6	175.5	170.56	14.98M	1.08%
12-Aug-09	170.28	170.91	171.99	167.13	18.13M	-1.53%
13-Aug-09	179.76	174	181	172.56	17.26M	5.57%
14-Aug-09	180.07	180.5	181.49	178.1	18.00M	0.17%
17-Aug-09	171.34	177.25	178.15	170.56	17.76M	-4.85%
18-Aug-09	173.44	171.34	176	170.81	17.14M	1.23%
19-Aug-09	169.11	173.6	174.74	167	17.08M	-2.50%
20-Aug-09	175.31	171	176.5	170.99	13.09M	3.67%
21-Aug-09	177.59	174.6	178.31	172.04	16.56M	1.30%
24-Aug-09	179.02	179	181.5	177.89	13.41M	0.81%
25-Aug-09	174.76	177.9	178.16	174.1	19.07M	-2.38%
26-Aug-09	173.97	177.27	177.27	173.31	14.06M	-0.45%
27-Aug-09	175.38	174	176.9	172.2	14.96M	0.81%
28-Aug-09	178.18	179.9	179.9	176	17.24M	1.60%
31-Aug-09	174.29	176.5	177.38	173.6	13.54M	-2.18%
1-Sep-09	173.32	176.1	178.1	172.6	14.45M	-0.56%
2-Sep-09	173.44	173.1	175	171.5	10.26M	0.07%
3-Sep-09	174.7	174.9	175.69	173.72	8.14M	0.73%
4-Sep-09	176.25	175.23	177.41	174.31	11.17M	0.89%
7-Sep-09	181.34	177.26	182.19	177.1	15.44M	2.89%
8-Sep-09	189.41	183.5	191	181.8	33.06M	4.45%
9-Sep-09	189.47	189	190.77	187.1	15.13M	0.03%
10-Sep-09	188.16	191	192.5	187.11	15.54M	-0.69%
11-Sep-09	192.05	189.94	194.77	187.63	15.73M	2.07%
14-Sep-09	195.65	192.9	196.44	191.06	20.34M	1.87%
15-Sep-09	200.81	198.97	201.99	196	21.79M	2.64%
16-Sep-09	208.67	205	209.9	201.5	25.74M	3.91%
17-Sep-09	210.18	211	214.27	208.34	31.47M	0.72%
18-Sep-09	214.78	208.5	216.2	207.95	40.00M	2.19%
22-Sep-09	217.07	214	218.5	213	18.93M	1.07%
23-Sep-09	214.16	218.5	218.76	213.5	17.88M	-1.34%
24-Sep-09	216.73	212.1	217.79	211.5	26.89M	1.20%
25-Sep-09	213.85	215	217.3	213	12.41M	-1.33%
29-Sep-09	209.2	214.12	216.7	208.5	20.30M	-2.17%
30-Sep-09	219.5	210	221.9	208.52	29.65M	4.92%
1-Oct-09	221.07	219.16	223.5	217.03	29.25M	0.72%
5-Oct-09	213.31	221.5	221.5	211.18	32.55M	-3.51%
6-Oct-09	215.87	215.94	216.75	209.94	30.29M	1.20%
7-Oct-09	210.17	216.51	218.95	208.6	26.53M	-2.64%
8-Oct-09	211.59	211.5	213.46	209.66	19.96M	0.68%
9-Oct-09	206.75	212.13	213	204.7	35.05M	-2.29%
12-Oct-09	217.27	209.87	218.5	206.68	29.29M	5.09%
14-Oct-09	227.25	218.53	228.6	217.5	27.48M	4.59%
15-Oct-09	232.87	229.89	233.99	227.5	31.85M	2.47%
16-Oct-09	244.63	233.4	247.4	231	51.98M	5.05%
17-Oct-09	246.25	250	250	243.92	7.93M	0.66%
20-Oct-09	247.09	246	249.9	244.66	23.72M	0.34%
21-Oct-09	238.61	247	247	238	22.23M	-3.43%
22-Oct-09	232.47	237.28	238.47	231.51	19.94M	-2.57%
23-Oct-09	235.46	230.25	237.97	227.25	17.69M	1.29%
26-Oct-09	230.55	236.5	237.39	229.5	16.56M	-2.09%
27-Oct-09	220.28	229.5	233.9	218.49	55.85M	-4.45%
28-Oct-09	221.29	221.87	223.25	211.66	53.99M	0.46%
29-Oct-09	219.62	216.26	222.34	216.26	36.68M	-0.75%
30-Oct-09	219.1	221.5	229.9	218.05	39.27M	-0.24%
3-Nov-09	210.3	218.7	218.7	209	29.84M	-4.02%
4-Nov-09	217.13	213	218.5	205.74	36.30M	3.25%
5-Nov-09	213.93	217.77	217.77	208.44	31.96M	-1.47%
6-Nov-09	220.5	216	222.59	215.5	35.32M	3.07%
9-Nov-09	231.82	221.5	232.5	221	29.65M	5.13%
10-Nov-09	236.89	233.8	238.19	232.5	41.83M	2.19%
11-Nov-09	237.82	236.5	238.45	233	22.42M	0.39%
12-Nov-09	229.37	237	237.82	227.6	22.26M	-3.55%
13-Nov-09	229.99	227.6	233.3	226.25	21.04M	0.27%
16-Nov-09	234.55	227.25	237.26	227.25	18.48M	1.98%
17-Nov-09	235.07	235.98	236	229.66	19.73M	0.22%
18-Nov-09	232.78	234.76	235.9	231.5	14.66M	-0.97%
19-Nov-09	228.13	232.9	232.91	227	16.90M	-2.00%
20-Nov-09	233.5	228.1	234.6	224.1	26.76M	2.35%
23-Nov-09	232	234.7	234.7	230.59	21.83M	-0.64%
24-Nov-09	230.56	232	235	229.8	23.25M	-0.62%
25-Nov-09	232.21	230.4	234.4	230.03	15.06M	0.72%
