Date	Price	Open	High	Low	Volume	Change %
13-Sep-10	314.86	299.11	316.6	299.11	49.11M	5.52%
14-Sep-10	310.95	315.4	316.6	308.25	24.45M	-1.24%
15-Sep-10	306.03	310.6	312.47	304.33	18.17M	-1.58%
16-Sep-10	309.48	306.3	314.2	306	32.20M	1.13%
17-Sep-10	309.27	314	314	308	13.31M	-0.07%
20-Sep-10	310.89	310	312.37	307.5	13.96M	0.52%
21-Sep-10	309.88	311.5	312.9	308.57	9.45M	-0.32%
22-Sep-10	314.87	311.58	315.89	309.82	19.80M	1.61%
23-Sep-10	313.94	315.8	316.5	312.62	13.75M	-0.30%
24-Sep-10	314.14	313.51	316	312.33	10.80M	0.06%
27-Sep-10	318.06	314.5	319.99	314.5	12.32M	1.25%
28-Sep-10	319.07	317.9	321	316.33	14.60M	0.32%
29-Sep-10	319.57	319	322.5	318.62	14.84M	0.16%
30-Sep-10	324.05	319.9	327.47	317.5	30.81M	1.40%
1-Oct-10	327.21	323.94	328.8	322.1	16.45M	0.98%
4-Oct-10	325.96	327.5	330	324.52	12.10M	-0.38%
5-Oct-10	324.8	325.5	327.51	323.72	9.62M	-0.36%
6-Oct-10	323.33	325.5	327.79	322.45	7.87M	-0.45%
7-Oct-10	321.99	323.6	324.69	320.8	8.53M	-0.41%
8-Oct-10	324.74	321.8	326.79	321.5	9.43M	0.85%
11-Oct-10	326.5	325.8	327.35	324.51	6.56M	0.54%
12-Oct-10	323.37	325.5	326.58	320.16	7.55M	-0.96%
13-Oct-10	330.56	324	331.5	322.3	15.43M	2.22%
14-Oct-10	326.14	331.5	332.49	324.82	6.70M	-1.34%
15-Oct-10	316.56	328.1	328.1	315.02	14.20M	-2.94%
18-Oct-10	316.77	318.5	320.94	313.29	17.30M	0.07%
19-Oct-10	311.66	318.48	320.4	310.57	11.81M	-1.61%
20-Oct-10	309.44	310.5	313.39	307.6	12.89M	-0.71%
21-Oct-10	319.51	310.8	320.94	310.61	12.95M	3.25%
22-Oct-10	320.62	320	322.2	317.1	12.03M	0.35%
25-Oct-10	323.92	320.9	325.24	320.8	9.43M	1.03%
26-Oct-10	318.08	323.4	323.4	317.4	14.04M	-1.80%
27-Oct-10	318.79	317.94	321.38	315.67	8.41M	0.22%
28-Oct-10	318.83	319.8	323.6	316.51	19.71M	0.01%
29-Oct-10	315.06	318.02	318.83	311.81	9.74M	-1.18%
1-Nov-10	319.85	319.5	321.8	316.82	8.78M	1.52%
2-Nov-10	320.19	319.9	324	317.67	12.95M	0.11%
3-Nov-10	327.26	321.5	328.6	321.11	13.39M	2.21%
4-Nov-10	343.35	329.8	344.9	328.62	19.97M	4.92%
5-Nov-10	349	345.9	350	345.13	4.13M	1.65%
8-Nov-10	342.51	350.5	351.5	341.32	17.53M	-1.86%
9-Nov-10	327.25	333	334.8	326.11	39.87M	-4.46%
10-Nov-10	321.46	327.1	329.19	320.9	23.51M	-1.77%
11-Nov-10	317.6	322.2	325.4	316.61	23.16M	-1.20%
12-Nov-10	302.68	317.02	317.5	300.2	27.25M	-4.70%
15-Nov-10	316.35	303.2	317.47	301	38.06M	4.52%
16-Nov-10	308.06	317.19	318.8	306.14	31.88M	-2.62%
18-Nov-10	306.5	310.8	311.1	296.5	43.44M	-0.51%
19-Nov-10	299.1	306.8	306.8	297.5	22.10M	-2.41%
22-Nov-10	303.99	300.12	305	298.06	22.72M	1.63%
23-Nov-10	295.34	301.4	301.4	287.04	44.97M	-2.85%
24-Nov-10	285.1	295.56	297.61	281.43	34.67M	-3.47%
25-Nov-10	282.19	287.1	288.4	277.5	46.88M	-1.02%
26-Nov-10	286.27	283.11	290.97	279.18	40.67M	1.45%
29-Nov-10	287.98	287.21	290.11	284.1	18.55M	0.60%
30-Nov-10	299.22	287.24	299.99	285.52	31.77M	3.90%
1-Dec-10	310.01	299.9	312.35	297.5	28.78M	3.61%
2-Dec-10	309.92	312.36	317.36	308.7	20.13M	-0.03%
3-Dec-10	307.07	309.3	310.5	304.8	16.72M	-0.92%
6-Dec-10	295.24	307.97	309	293.5	31.66M	-3.85%
7-Dec-10	286.45	295.3	295.5	285	38.87M	-2.98%
8-Dec-10	280.5	285	286	279.2	34.75M	-2.08%
9-Dec-10	268.69	281.5	281.7	266.65	43.13M	-4.21%
10-Dec-10	273.25	268.4	274.45	265.55	52.26M	1.70%
13-Dec-10	274.49	274.55	278	269.5	42.07M	0.45%
14-Dec-10	279.27	274.92	280.5	274.06	24.18M	1.74%
15-Dec-10	269.81	278.3	278.3	267	30.59M	-3.39%
16-Dec-10	276.3	270.9	277.9	267.74	45.92M	2.41%
20-Dec-10	270.05	275	275	269	24.81M	-2.26%
21-Dec-10	274.38	270.93	276.5	270.93	19.61M	1.60%
22-Dec-10	274.5	274.8	278.8	273	18.94M	0.04%
23-Dec-10	274.62	275.5	276.79	273.51	11.99M	0.04%
24-Dec-10	275.54	274.6	276.9	273	11.55M	0.34%
27-Dec-10	275.12	276.45	277.13	274.56	10.20M	-0.15%
28-Dec-10	272.85	276.5	276.5	272.5	9.76M	-0.83%
29-Dec-10	275.52	273.5	276.32	273.12	9.24M	0.98%
30-Dec-10	274.96	275.1	278.05	274.18	21.06M	-0.20%
31-Dec-10	281.19	275.4	282.75	275.31	19.62M	2.27%
3-Jan-11	282.21	283.27	285.2	281.51	11.06M	0.36%
4-Jan-11	273.56	283.44	283.44	272.71	31.04M	-3.07%
5-Jan-11	269.32	273.5	273.64	268.2	25.21M	-1.55%
6-Jan-11	262.24	271.4	271.4	261.31	37.17M	-2.63%
7-Jan-11	260.1	261.79	264.2	256.71	44.43M	-0.82%
10-Jan-11	254.71	259.99	263.4	253.6	29.55M	-2.07%
11-Jan-11	261.29	254.62	262.86	253.5	34.48M	2.58%
12-Jan-11	266.97	262.8	268.9	256.97	41.77M	2.17%
13-Jan-11	256.07	267.4	267.4	255.5	28.05M	-4.08%
14-Jan-11	250.08	256.67	258.8	249.14	26.84M	-2.34%
17-Jan-11	251.62	250.4	253.5	249	16.03M	0.62%
18-Jan-11	255.46	252	256.2	252	11.85M	1.53%
19-Jan-11	250.18	256.19	256.58	248.72	22.82M	-2.07%
20-Jan-11	253.5	249.1	254.5	246.31	28.01M	1.33%
21-Jan-11	259.69	252.89	260.7	252.2	29.09M	2.44%
24-Jan-11	269.5	264	270.74	263.6	36.69M	3.78%
25-Jan-11	267.8	270.9	273.74	266.8	41.47M	-0.63%
27-Jan-11	265.35	268.9	271.19	264.25	29.79M	-0.91%
28-Jan-11	262.01	264.97	267.46	259.05	28.30M	-1.26%
31-Jan-11	264.24	258	266.5	257.1	26.08M	0.85%
1-Feb-11	259.4	265.26	266	258.52	26.79M	-1.83%
2-Feb-11	257.38	262.47	263.36	256	21.96M	-0.78%
3-Feb-11	265.18	257.5	265.9	256.12	21.77M	3.03%
4-Feb-11	264.58	264.8	269.5	263	29.25M	-0.23%
7-Feb-11	266.35	265.97	268.78	263.45	17.46M	0.67%
8-Feb-11	263.82	266.4	268.5	262.4	25.10M	-0.95%
9-Feb-11	258.1	263.5	263.5	256.5	19.47M	-2.17%
10-Feb-11	249.41	257.81	258.5	247.63	28.51M	-3.37%
11-Feb-11	259.26	249.8	260.2	248.5	26.49M	3.95%
14-Feb-11	269.82	261	270.69	261	26.17M	4.07%
15-Feb-11	273.68	271	276.1	267.01	28.98M	1.43%
16-Feb-11	275.11	273.24	277.3	272.37	17.01M	0.52%
17-Feb-11	278.06	275.2	278.8	274	16.08M	1.07%
18-Feb-11	276.11	278.25	281.48	273.96	26.08M	-0.70%
21-Feb-11	279.19	276.14	279.9	274.44	18.32M	1.12%
22-Feb-11	272.73	277.4	277.7	271.4	19.70M	-2.31%
23-Feb-11	261.76	271	272.09	260.94	31.53M	-4.02%
24-Feb-11	252.87	262.44	264	251.22	37.52M	-3.40%
25-Feb-11	258.26	255	261.98	253.38	31.61M	2.13%
28-Feb-11	263.05	259	266.21	258.37	26.45M	1.85%
1-Mar-11	270.54	265.7	271.8	264.75	18.16M	2.85%
3-Mar-11	268.25	269	271.92	265.56	28.70M	-0.85%
4-Mar-11	270.46	270.8	272.8	269.31	17.55M	0.82%
7-Mar-11	262.42	268.44	268.44	261.1	15.34M	-2.97%
8-Mar-11	264.23	262.8	265.49	262.02	13.92M	0.69%
9-Mar-11	262.74	265.97	266.5	261.72	15.53M	-0.56%
10-Mar-11	258.98	261.52	261.52	257.5	14.39M	-1.43%
11-Mar-11	256.51	257.79	259.5	255.4	13.73M	-0.95%
14-Mar-11	260.2	257.25	260.9	256.58	12.23M	1.44%
15-Mar-11	256.25	256	258.45	252.04	14.30M	-1.52%
16-Mar-11	264.39	257.62	265.86	257.62	18.20M	3.18%
17-Mar-11	261.75	262.5	267	260.87	20.40M	-1.00%
18-Mar-11	259.02	263.6	264.2	258	11.58M	-1.04%
21-Mar-11	258.26	260.84	261.45	256.86	10.69M	-0.29%
22-Mar-11	262.06	259.54	263.21	259.5	11.91M	1.47%
23-Mar-11	264.26	261.79	264.8	259.5	12.69M	0.84%
24-Mar-11	265.07	264.8	266.57	263.21	8.89M	0.31%
25-Mar-11	271.08	266.8	271.9	264.8	15.23M	2.27%
28-Mar-11	274.93	270.5	276.01	270.12	15.43M	1.42%
29-Mar-11	276.79	274.18	279.3	274.11	15.58M	0.68%
30-Mar-11	285.61	277.99	287.07	277.53	22.43M	3.19%
31-Mar-11	276.53	287.97	288.85	275.8	48.16M	-3.18%
1-Apr-11	271.95	276.53	277.4	270.51	31.11M	-1.66%
4-Apr-11	276.33	272.7	277.4	272.63	15.85M	1.61%
5-Apr-11	279.62	278.45	280.37	274.2	17.64M	1.19%
6-Apr-11	279.74	279.88	282.4	277.51	21.14M	0.04%
7-Apr-11	281.29	279.4	283.5	277.5	15.24M	0.55%
8-Apr-11	277.82	280.5	282.49	276.17	12.05M	-1.23%
11-Apr-11	278.42	277.97	279.8	276.25	11.32M	0.22%
13-Apr-11	281.9	276.79	282.99	275.9	15.57M	1.25%
15-Apr-11	280.81	281.8	284.9	279.5	13.67M	-0.39%
18-Apr-11	275.15	281.2	284.4	274.69	10.58M	-2.02%
19-Apr-11	273.33	275.5	276.87	271.51	11.03M	-0.66%
20-Apr-11	279.51	275.2	280.2	272.36	19.31M	2.26%
21-Apr-11	286.12	282	287.5	280.93	18.00M	2.36%
25-Apr-11	291.88	287.2	296	287.2	12.61M	2.01%
26-Apr-11	293.38	292.45	294.96	288.54	14.75M	0.51%
27-Apr-11	291.05	294	295.48	290.12	15.23M	-0.79%
28-Apr-11	285.57	292.9	293.21	284.51	18.97M	-1.88%
29-Apr-11	280.46	285.6	286.89	278.5	11.66M	-1.79%
2-May-11	269.27	281	281.9	268.2	20.65M	-3.99%
3-May-11	258.37	268.01	272.77	257.5	51.17M	-4.05%
4-May-11	261.58	259.19	264.39	256.25	22.68M	1.24%
5-May-11	260.24	261.5	264.29	258.7	17.19M	-0.51%
6-May-11	264.99	260.3	266.35	260.3	14.60M	1.83%
9-May-11	262.32	265.7	266.49	260.2	10.88M	-1.01%
10-May-11	262.7	262.06	263.9	260.9	9.98M	0.14%
11-May-11	267.5	263.74	268.87	261.2	22.77M	1.83%
12-May-11	264.14	265.9	267.98	263.1	14.50M	-1.26%
13-May-11	264.96	264.44	268	261.51	18.41M	0.31%
16-May-11	261.63	264	265.72	261.01	13.82M	-1.26%
17-May-11	241.47	262.31	262.69	240.1	80.11M	-7.71%
18-May-11	235.57	238	239.79	232.84	58.82M	-2.44%
19-May-11	232.23	236.44	237.87	231.26	34.03M	-1.42%
20-May-11	232.04	231.2	235.91	231.04	27.00M	-0.08%
23-May-11	224.97	231.4	231.4	223.82	24.03M	-3.05%
24-May-11	222.21	225	226.79	221.6	24.86M	-1.23%
25-May-11	217.79	221.8	222.98	216.5	34.55M	-1.99%
26-May-11	218.83	218.47	221.27	216.74	40.87M	0.48%
27-May-11	223.47	220.37	224.22	220.1	26.04M	2.12%
30-May-11	223.73	224.19	225.4	221.5	13.54M	0.12%
31-May-11	229.79	225.2	230.42	224.81	20.56M	2.71%
1-Jun-11	232.92	230.88	233.7	230.1	25.42M	1.36%
2-Jun-11	233.42	230.8	234.98	229.4	19.91M	0.21%
3-Jun-11	231.25	233.47	235.6	230.1	15.73M	-0.93%
6-Jun-11	231.72	230.3	232.19	227.24	13.41M	0.20%
7-Jun-11	232.01	231.34	233.67	230.51	12.53M	0.13%
8-Jun-11	229.49	231.4	232.3	228.61	14.45M	-1.09%
9-Jun-11	226.35	229.49	230.94	225.56	19.95M	-1.37%
10-Jun-11	224.29	226.98	227.5	222.53	14.75M	-0.91%
13-Jun-11	222	223.9	224.2	221	17.06M	-1.02%
14-Jun-11	223.03	223.1	224.65	222.07	15.92M	0.46%
15-Jun-11	218.25	223.35	223.57	217.57	20.55M	-2.14%
16-Jun-11	220.54	217.16	222.51	216.13	23.78M	1.05%
17-Jun-11	221.31	222	222.13	218.88	12.20M	0.35%
20-Jun-11	218.02	222	222.18	212	15.48M	-1.49%
21-Jun-11	214.85	218.8	220.99	214.12	16.47M	-1.45%
22-Jun-11	214.05	216.18	216.46	212.32	14.63M	-0.37%
23-Jun-11	216.13	213.65	216.99	213.6	9.46M	0.97%
24-Jun-11	228.61	217.69	229.81	217.36	27.61M	5.77%
27-Jun-11	232.6	227.5	232.98	226.2	22.79M	1.75%
28-Jun-11	234.11	233.11	234.92	231.99	17.30M	0.65%
29-Jun-11	237.96	235.2	238.64	234.51	18.68M	1.64%
30-Jun-11	240.47	238.8	243.3	238.8	27.87M	1.05%
1-Jul-11	242.03	241.85	242.95	238.4	18.74M	0.65%
4-Jul-11	243.61	244.54	244.9	242.2	9.57M	0.65%
5-Jul-11	247.33	243.9	247.84	240.95	15.94M	1.53%
6-Jul-11	244.38	247	247.72	243.66	10.11M	-1.19%
7-Jul-11	248.28	244.6	248.74	243	13.82M	1.60%
8-Jul-11	247.84	248.12	251.5	245.79	14.72M	-0.18%
11-Jul-11	243.51	246.98	246.98	242.1	12.10M	-1.75%
12-Jul-11	240.01	240.4	242.5	238.44	13.95M	-1.44%
13-Jul-11	243.11	241.47	244.16	241.2	8.14M	1.29%
14-Jul-11	246.71	242.3	248.93	241.31	15.27M	1.48%
15-Jul-11	247.49	246.5	249.9	246.5	13.04M	0.32%
18-Jul-11	247.68	247.34	248.38	245.35	6.78M	0.08%
19-Jul-11	251.26	246.98	251.7	246.6	11.03M	1.45%
20-Jul-11	247.14	252.4	252.87	246.06	9.81M	-1.64%
21-Jul-11	245.5	247.3	247.94	244.4	7.84M	-0.66%
22-Jul-11	249.84	247	250.7	246	12.40M	1.77%
25-Jul-11	251.27	249.25	252.5	247.22	13.84M	0.57%
26-Jul-11	244.6	251.8	252.97	242.91	25.32M	-2.65%
27-Jul-11	240.5	244.39	244.48	238.05	18.54M	-1.68%
28-Jul-11	235.66	237.55	239.5	234.5	19.80M	-2.01%
29-Jul-11	234.48	235.8	237.6	233.47	11.08M	-0.50%
1-Aug-11	234.51	236.51	238.3	232.66	11.20M	0.01%
2-Aug-11	227.71	233.64	233.85	226.85	13.64M	-2.90%
3-Aug-11	227.87	225	228.77	224.84	12.10M	0.07%
4-Aug-11	225.78	228.89	231	225.22	11.95M	-0.92%
5-Aug-11	223.49	220.5	224.4	218.05	20.17M	-1.01%
8-Aug-11	221.7	218.89	226.53	218	15.08M	-0.80%
9-Aug-11	222.22	216.5	228.9	215.75	29.54M	0.23%
10-Aug-11	227.22	227.5	228.69	225.41	14.74M	2.25%
11-Aug-11	224.63	226.5	228.33	224.1	13.66M	-1.14%
12-Aug-11	219.7	227.79	227.8	215	22.81M	-2.19%
16-Aug-11	219.69	218	224.75	216.53	27.20M	0.00%
17-Aug-11	217.03	220.5	223.34	216.31	18.87M	-1.21%
18-Aug-11	207.84	218.4	218.5	207	22.26M	-4.23%
19-Aug-11	203.75	205	210.9	202.63	28.27M	-1.97%
22-Aug-11	206.19	204.58	207.49	200.7	20.18M	1.20%
23-Aug-11	206.37	207.87	208.2	203.71	17.09M	0.09%
24-Aug-11	198.97	206.68	208.1	197.81	31.65M	-3.59%
25-Aug-11	195.97	200	200.95	195.16	36.51M	-1.51%
26-Aug-11	188.78	196.4	197.24	186.66	31.42M	-3.67%
29-Aug-11	193.86	192.5	195	191.16	21.88M	2.69%
30-Aug-11	197.38	197.47	198.38	192.26	29.51M	1.82%
2-Sep-11	199.34	199.1	202.1	196.01	29.55M	0.99%
5-Sep-11	200.66	197.28	201.6	196.2	26.48M	0.66%
6-Sep-11	197.97	199.35	199.69	193.22	32.40M	-1.34%
7-Sep-11	202.78	198.34	204.26	198.32	25.05M	2.43%
8-Sep-11	202.38	203.67	204	201.11	24.30M	-0.20%
9-Sep-11	195.27	203	204.79	194	36.51M	-3.51%
12-Sep-11	186.34	193.1	193.1	185.54	34.52M	-4.57%
13-Sep-11	183.28	188	189.94	181.8	40.07M	-1.64%
14-Sep-11	182.68	183.8	185.36	180.85	42.36M	-0.33%
15-Sep-11	189.81	184.78	190.48	183	37.92M	3.90%
16-Sep-11	194.56	191.35	195.9	188.01	57.71M	2.50%
19-Sep-11	191.69	192.85	193.25	190.5	16.37M	-1.48%
20-Sep-11	199.07	191.6	199.99	190.2	23.82M	3.85%
21-Sep-11	200.96	199.5	202.4	199.07	32.60M	0.95%
22-Sep-11	193.75	196.22	197.39	193	27.42M	-3.59%
23-Sep-11	195.03	191.1	198.19	189	37.52M	0.66%
26-Sep-11	195.13	195.21	197.09	192.18	24.40M	0.05%
27-Sep-11	199.73	198.5	200.68	197.76	17.63M	2.36%
28-Sep-11	196.94	201	201.27	196.1	22.32M	-1.40%
29-Sep-11	195.24	195.6	196.18	191.16	25.81M	-0.86%
30-Sep-11	191.1	193.47	193.87	190.53	23.92M	-2.12%
3-Oct-11	186.16	188.22	188.5	185.1	20.08M	-2.59%
4-Oct-11	178.72	185	187.28	175	50.60M	-4.00%
5-Oct-11	171.84	180.01	181.22	171	62.75M	-3.85%
7-Oct-11	175.23	176.3	177.78	174.25	29.99M	1.97%
10-Oct-11	175.6	176	176.49	172.22	32.69M	0.21%
11-Oct-11	176.46	177.68	180.6	175.35	39.35M	0.49%
12-Oct-11	187.21	178.03	188	175.72	53.73M	6.09%
13-Oct-11	188.74	188.1	193.4	187.5	41.07M	0.82%
14-Oct-11	188.52	187.1	190.65	186.93	23.60M	-0.12%
17-Oct-11	189.17	190.4	193.3	188.31	24.61M	0.34%
18-Oct-11	186.66	186.99	188.56	183.8	18.02M	-1.33%
19-Oct-11	191.84	188.79	192.35	188.6	15.56M	2.78%
20-Oct-11	193.5	189.2	194	188.67	21.59M	0.87%
21-Oct-11	194.82	194.14	196.74	193.62	21.75M	0.68%
24-Oct-11	190.88	197.5	198.9	188.57	25.17M	-2.02%
25-Oct-11	183.98	191.98	196	182.7	66.18M	-3.61%
26-Oct-11	186.66	185.49	187	185.2	6.69M	1.46%
28-Oct-11	190.98	192.5	192.91	189.03	28.31M	2.31%
31-Oct-11	190.63	191.89	192.18	187.8	29.92M	-0.18%
1-Nov-11	190.14	189.25	192.1	188.6	20.93M	-0.26%
2-Nov-11	190.94	188.7	192.48	188.5	16.53M	0.42%
3-Nov-11	193.47	190.5	194	190.34	28.63M	1.33%
4-Nov-11	196.62	196.45	198.09	195.31	25.32M	1.63%
8-Nov-11	199.73	197.7	200.4	196	24.29M	1.58%
9-Nov-11	186.21	201.3	201.75	185.22	94.15M	-6.77%
11-Nov-11	179.84	186.18	186.49	178.13	54.23M	-3.42%
14-Nov-11	175.31	182.6	182.7	174.04	28.12M	-2.52%
15-Nov-11	172.97	174.5	176.37	171.83	34.04M	-1.33%
16-Nov-11	176.59	172.8	178	171.81	31.89M	2.09%
17-Nov-11	175.75	176.37	179.88	174.65	28.58M	-0.48%
18-Nov-11	172.66	175.01	176.6	170.33	35.14M	-1.76%
21-Nov-11	167.22	172.3	172.44	165.46	28.19M	-3.15%
22-Nov-11	168.95	168.14	170.9	166.53	28.52M	1.03%
23-Nov-11	165.52	167.4	167.4	162.72	29.18M	-2.03%
24-Nov-11	165.39	165.6	166.84	162.9	31.83M	-0.08%
25-Nov-11	169.06	164.9	169.9	163.5	41.74M	2.22%
28-Nov-11	177.96	172.1	178.79	171.12	25.49M	5.26%
29-Nov-11	176.12	178.8	179.7	174.72	30.15M	-1.03%
30-Nov-11	176.25	174.97	179.5	172.8	80.07M	0.07%
1-Dec-11	182.41	181.6	185.27	181	24.46M	3.50%
2-Dec-11	188.69	182.45	189.9	180.18	32.78M	3.44%
5-Dec-11	191.1	188.47	191.7	187	29.15M	1.28%
7-Dec-11	194.54	191.47	195.99	191.4	33.43M	1.80%
8-Dec-11	186.79	193	193.38	186	32.06M	-3.98%
9-Dec-11	186.56	183.03	188.49	182	37.92M	-0.12%
12-Dec-11	177.28	188.27	189.66	176.3	41.13M	-4.97%
13-Dec-11	178.78	175.8	180.79	174.66	31.44M	0.85%
14-Dec-11	178.51	178.4	184	177.1	43.56M	-0.15%
15-Dec-11	173.68	175.65	177.19	172.66	44.37M	-2.71%
16-Dec-11	167.91	175.2	178.23	166.51	50.52M	-3.32%
19-Dec-11	162.81	166.5	166.5	159.69	41.79M	-3.04%
20-Dec-11	157.85	163.2	164.9	157.11	33.99M	-3.05%
21-Dec-11	162.35	161.49	163.5	159.53	29.95M	2.85%
22-Dec-11	167.11	161	167.91	158.81	34.38M	2.93%
23-Dec-11	164.75	167.5	169.18	163.8	26.77M	-1.41%
26-Dec-11	166.56	164.31	167.5	164.22	16.41M	1.10%
27-Dec-11	164.37	166.5	166.9	163.34	15.43M	-1.31%
28-Dec-11	161.02	162.91	163.5	160.25	17.80M	-2.04%
29-Dec-11	162.88	160	163.7	159	36.16M	1.16%
30-Dec-11	161.91	163.79	165	160.56	20.78M	-0.60%
2-Jan-12	162.76	162.9	163.6	161.14	14.46M	0.52%
3-Jan-12	170.56	164.4	171	164.3	21.34M	4.79%
4-Jan-12	169.6	171.2	171.39	167.52	22.24M	-0.56%
5-Jan-12	169.25	169.6	171.85	168	21.34M	-0.21%
6-Jan-12	167.28	167.5	170.76	165.81	21.14M	-1.16%
7-Jan-12	166.91	167.01	168.43	166.21	2.54M	-0.22%
9-Jan-12	163.72	166.17	166.17	162.51	26.13M	-1.91%
10-Jan-12	170.26	164.97	170.88	164.9	28.09M	3.99%
11-Jan-12	172.69	170.6	173.37	169.33	24.53M	1.43%
12-Jan-12	176.44	173.07	177.64	172.03	25.16M	2.17%
13-Jan-12	177.61	177.69	179.99	177	20.47M	0.66%
16-Jan-12	181.64	175.62	183.49	174.84	21.27M	2.27%
17-Jan-12	184.4	183.8	187.24	183.5	22.72M	1.52%
18-Jan-12	186.53	185	187.1	182	21.71M	1.16%
19-Jan-12	188.43	188	191.25	187.51	17.02M	1.02%
20-Jan-12	193.28	189.8	194.4	189.51	26.38M	2.57%
23-Jan-12	194.05	193.19	196.71	192.1	16.83M	0.40%
24-Jan-12	204.08	193.2	205.8	192.67	51.13M	5.17%
25-Jan-12	205.8	205.53	208.59	203.99	33.82M	0.84%
27-Jan-12	204.06	206.44	207	201.79	21.06M	-0.85%
30-Jan-12	198.53	201.5	205.88	197.01	20.77M	-2.71%
31-Jan-12	206.16	201.99	207.3	201.2	29.75M	3.84%
1-Feb-12	207.76	205.1	208.84	204.25	27.57M	0.78%
2-Feb-12	207.26	209.5	211.34	198.23	55.33M	-0.24%
3-Feb-12	210.31	207	211.76	203.65	24.48M	1.47%
6-Feb-12	216.26	213.19	218.75	213.19	31.65M	2.83%
7-Feb-12	215.31	218.19	218.83	214.54	21.73M	-0.44%
8-Feb-12	217.78	216.15	218.8	214.52	24.98M	1.15%
9-Feb-12	218.4	216.43	219.2	215.76	18.50M	0.28%
10-Feb-12	217.19	218.8	220.9	215.01	22.97M	-0.55%
13-Feb-12	212.93	217.4	218.05	209.6	56.13M	-1.96%
14-Feb-12	220.01	212.85	221.79	212.85	36.54M	3.33%
15-Feb-12	225.06	222.7	225.75	222.25	26.68M	2.30%
16-Feb-12	235.03	224.22	237.75	222.91	42.83M	4.43%
17-Feb-12	241.71	237.7	247.16	237.7	50.35M	2.84%
21-Feb-12	245.25	242	247.5	241.5	27.88M	1.46%
22-Feb-12	225.5	245.6	246.91	223.69	63.34M	-8.05%
23-Feb-12	226.05	225.44	232.31	224.7	44.54M	0.24%
24-Feb-12	220.56	228	230.3	219.5	36.30M	-2.43%
27-Feb-12	212.28	221.49	222	211.11	29.41M	-3.75%
28-Feb-12	223.12	213.9	225.5	213.06	44.59M	5.11%
29-Feb-12	224.75	226.5	228.7	222.3	35.70M	0.73%
1-Mar-12	221.88	223.38	223.78	218.65	22.62M	-1.28%
2-Mar-12	224.67	222.64	228.2	218.6	31.10M	1.26%
3-Mar-12	225.09	224.49	225.9	224.49	1.67M	0.19%
5-Mar-12	217.6	223.47	223.47	216.47	19.69M	-3.33%
6-Mar-12	214.78	215.1	226.3	211.49	44.40M	-1.30%
7-Mar-12	214.16	213.5	216.38	210.6	35.29M	-0.29%
9-Mar-12	222.64	219	224.3	218.81	22.97M	3.96%
12-Mar-12	231.08	230.53	232.46	228.1	36.57M	3.79%
13-Mar-12	232.75	234.13	235	231.65	18.01M	0.72%
14-Mar-12	235.48	237.03	237.44	233.22	22.80M	1.17%
15-Mar-12	229.93	235.8	236.8	228.6	27.42M	-2.36%
16-Mar-12	222.79	230	235.5	221.5	40.58M	-3.11%
19-Mar-12	215.75	223	223.7	215	22.68M	-3.16%
20-Mar-12	218.74	216	220.28	213.81	26.38M	1.39%
21-Mar-12	223.28	218.39	223.9	217.63	23.06M	2.08%
22-Mar-12	216.06	222.7	225.56	215.01	30.75M	-3.23%
23-Mar-12	216.68	217.6	220.48	212.72	30.73M	0.29%
26-Mar-12	211.75	215.87	215.9	211	20.09M	-2.28%
27-Mar-12	212.91	215.5	217.19	209.77	38.47M	0.55%
28-Mar-12	207.93	212	212.14	206.34	24.37M	-2.34%
29-Mar-12	206.13	205	208	204.72	25.09M	-0.87%
30-Mar-12	209.63	206.77	210.99	206.77	25.03M	1.70%
2-Apr-12	213.04	210	213.9	210	20.30M	1.63%
3-Apr-12	217.25	214.2	218.32	214.19	21.63M	1.98%
4-Apr-12	216.25	215	217.9	213.66	15.24M	-0.46%
9-Apr-12	210.04	214.8	214.89	209	13.90M	-2.87%
10-Apr-12	215.12	211	215.7	209.5	19.32M	2.42%
11-Apr-12	215.85	212.51	217.95	211.71	25.93M	0.34%
12-Apr-12	222.75	217.5	223.4	217.5	33.62M	3.20%
13-Apr-12	221.23	225	228.36	219.53	27.18M	-0.68%
16-Apr-12	226.51	221.2	227.29	220.1	20.68M	2.39%
17-Apr-12	230.43	229.7	234.97	222.11	55.74M	1.73%
18-Apr-12	229.18	232.31	233.98	227.53	18.50M	-0.54%
19-Apr-12	226.91	229.7	229.88	225.41	19.75M	-0.99%
20-Apr-12	226.04	226.5	228.74	223.82	19.02M	-0.38%
23-Apr-12	219.32	226.5	227.95	218.2	21.61M	-2.97%
24-Apr-12	219.07	219.5	221.56	217.51	17.63M	-0.11%
25-Apr-12	217.18	218.92	220.7	213.07	24.86M	-0.86%
26-Apr-12	216.24	218.8	218.8	213.7	19.13M	-0.43%
27-Apr-12	212.55	215.2	216.87	210.1	25.32M	-1.71%
28-Apr-12	213.13	213.19	214	211.41	1.43M	0.27%
30-Apr-12	213.81	213.1	216.99	212.7	17.22M	0.32%
2-May-12	214.06	214.5	216.89	212.53	13.93M	0.12%
3-May-12	208.41	212.1	212.78	207.55	22.94M	-2.64%
4-May-12	199.62	206.73	206.9	198.6	24.32M	-4.22%
7-May-12	202.82	194.6	204	187.6	38.69M	1.60%
8-May-12	195.53	203.6	204.89	192.28	30.37M	-3.59%
