Date,Price,Open,High,Low,Volume,
4/9/2009,123.14,126.49,127.8,122.3,26.71M,
4/14/2009,126.59,123.33,128.09,120.14,23.67M,
4/15/2009,131.12,127.45,132.5,125.9,32.58M,
4/16/2009,127.82,128.9,133,126.5,39.04M,
4/17/2009,123.56,127.6,129.85,123,26.92M,
4/20/2009,127.86,124.5,129.19,124.2,26.36M,
4/21/2009,136.62,132.53,137.3,132.26,26.07M,
4/23/2009,134.52,137.5,138.6,133.57,33.06M,
4/24/2009,132.25,135.4,137.7,131.01,31.13M,
4/28/2009,136.95,137.87,137.87,133.5,22.24M,
4/29/2009,132.46,136.97,137.5,130.61,29.10M,
4/30/2009,125.82,134.5,137.4,124.71,47.71M,
5/4/2009,129.51,125,130,124,36.14M,
5/5/2009,126.14,130,131,125.5,32.43M,
5/6/2009,126.73,124.97,127.59,121.94,30.00M,
5/7/2009,131.35,126.7,132.5,126.7,31.35M,
5/8/2009,157.66,144.5,168.8,144.5,586.24K,
5/11/2009,175.4,164.8,184.38,150,88.02M,
5/12/2009,178.12,174,182,171.2,42.96M,
5/13/2009,171.22,176,177.9,170,33.94M,
5/14/2009,173.2,168.7,173.99,167.6,27.54M,
5/15/2009,172.24,173.68,174.27,169.5,19.43M,
5/18/2009,168.94,170.6,176.05,167,23.27M,
5/19/2009,179.29,171.01,179.97,171.01,24.89M,
5/20/2009,182.96,178,183.7,176.75,33.88M,
5/21/2009,186.88,183.1,189.22,182.7,27.54M,
5/22/2009,187.68,203.97,203.97,184.27,24.86M,
5/25/2009,190.69,188,194.1,181.88,29.94M,
5/26/2009,187.96,191.5,192.99,185.8,22.32M,
5/27/2009,188.29,186.5,189.53,184.1,18.60M,
5/28/2009,181.76,189.5,189.8,181,29.53M,
5/29/2009,169.59,182.9,183,168.43,29.20M,
6/1/2009,176.36,168.99,177.5,167.9,27.42M,
6/2/2009,175.68,176.4,179.99,174.01,24.85M,
6/3/2009,169.35,176.5,176.5,168,24.16M,
6/4/2009,163.46,171,172.34,162.6,26.69M,
6/5/2009,164.19,162.9,167.4,161,22.15M,
6/8/2009,171.44,161.64,172.2,159.9,26.33M,
6/9/2009,166.24,170.9,171.8,165.28,19.30M,
6/10/2009,170.33,169.78,172.87,165.9,30.38M,
6/11/2009,172.46,171.53,174.5,167.71,21.37M,
6/12/2009,169.54,173.1,176,168.6,23.36M,
6/15/2009,170.79,167.5,172.5,166.44,20.58M,
6/17/2009,171.68,172.4,173,169.5,14.68M,
6/18/2009,170.4,173,174,170,24.18M,
6/19/2009,174.93,170.99,175.9,169,24.41M,
6/22/2009,176.51,175.5,178,173.56,23.88M,
6/23/2009,174.53,178.3,178.31,173.31,23.20M,
6/24/2009,177.96,173.1,179.4,172.11,17.93M,
6/25/2009,175.94,178.5,179,173.22,15.76M,
6/26/2009,180.97,174.4,182.2,173.1,20.75M,
6/29/2009,165.35,180,183.99,163.31,38.15M,
6/30/2009,163.63,168,169.7,161.91,35.62M,
7/1/2009,158.07,162.99,162.99,156.65,38.78M,
7/2/2009,160.41,158.5,162.48,157.01,27.93M,
7/3/2009,154.37,160.9,161.8,153.1,18.08M,
7/6/2009,154.66,153.5,157.4,151.06,19.03M,
7/7/2009,158.26,157,159,156.69,15.30M,
7/8/2009,163.7,159,164.78,158.6,14.26M,
7/9/2009,160.42,165.2,166,159.53,17.09M,
7/10/2009,167.4,162,168.3,161.7,18.38M,
7/13/2009,172.29,168,173.94,164.1,22.84M,
7/14/2009,171.16,172.2,174,168,20.47M,
7/15/2009,169.39,172,174.7,168.31,18.26M,
7/16/2009,172.72,171,174,170.25,16.20M,
7/17/2009,169.86,174,174.5,169.11,16.01M,
7/20/2009,171.13,171,172.8,169.5,13.47M,
7/21/2009,168.18,174.08,174.08,167.22,18.23M,
7/22/2009,165.68,165.2,167.99,162.13,22.37M,
7/23/2009,172.28,166.09,174.4,165.01,35.45M,
7/24/2009,181.16,174.1,182.22,174,37.30M,
7/27/2009,184.71,182,186.4,180.1,20.45M,
7/28/2009,185.75,187,188.8,183.63,21.14M,
7/29/2009,184.35,185.5,187.37,183.03,16.06M,
7/30/2009,179.66,184.3,185.5,178.9,21.40M,
7/31/2009,174.33,177.07,180,172,18.47M,
8/3/2009,171.09,179.74,179.74,170,15.17M,
8/4/2009,172.93,171.6,175.5,170.56,14.98M,
8/5/2009,170.28,170.91,171.99,167.13,18.13M,
8/6/2009,179.76,174,181,172.56,17.26M,
8/7/2009,180.07,180.5,181.49,178.1,18.00M,
8/11/2009,171.34,177.25,178.15,170.56,17.76M,
8/12/2009,173.44,171.34,176,170.81,17.14M,
8/13/2009,169.11,173.6,174.74,167,17.08M,
8/14/2009,175.31,171,176.5,170.99,13.09M,
8/17/2009,177.59,174.6,178.31,172.04,16.56M,
8/18/2009,179.02,179,181.5,177.89,13.41M,
8/19/2009,174.76,177.9,178.16,174.1,19.07M,
8/20/2009,173.97,177.27,177.27,173.31,14.06M,
8/21/2009,175.38,174,176.9,172.2,14.96M,
8/24/2009,178.18,179.9,179.9,176,17.24M,
8/25/2009,174.29,176.5,177.38,173.6,13.54M,
8/26/2009,173.32,176.1,178.1,172.6,14.45M,
8/27/2009,173.44,173.1,175,171.5,10.26M,
8/28/2009,174.7,174.9,175.69,173.72,8.14M,
8/31/2009,176.25,175.23,177.41,174.31,11.17M,
9/1/2009,181.34,177.26,182.19,177.1,15.44M,
9/2/2009,189.41,183.5,191,181.8,33.06M,
9/3/2009,189.47,189,190.77,187.1,15.13M,
9/4/2009,188.16,191,192.5,187.11,15.54M,
9/7/2009,192.05,189.94,194.77,187.63,15.73M,
9/8/2009,195.65,192.9,196.44,191.06,20.34M,
9/9/2009,200.81,198.97,201.99,196,21.79M,
9/10/2009,208.67,205,209.9,201.5,25.74M,
9/11/2009,210.18,211,214.27,208.34,31.47M,
9/14/2009,214.78,208.5,216.2,207.95,40.00M,
9/15/2009,217.07,214,218.5,213,18.93M,
9/16/2009,214.16,218.5,218.76,213.5,17.88M,
9/17/2009,216.73,212.1,217.79,211.5,26.89M,
9/18/2009,213.85,215,217.3,213,12.41M,
9/21/2009,209.2,214.12,216.7,208.5,20.30M,
9/22/2009,219.5,210,221.9,208.52,29.65M,
9/23/2009,221.07,219.16,223.5,217.03,29.25M,
9/25/2009,213.31,221.5,221.5,211.18,32.55M,
9/28/2009,215.87,215.94,216.75,209.94,30.29M,
9/29/2009,210.17,216.51,218.95,208.6,26.53M,
9/30/2009,211.59,211.5,213.46,209.66,19.96M,
10/1/2009,206.75,212.13,213,204.7,35.05M,
10/2/2009,217.27,209.87,218.5,206.68,29.29M,
10/5/2009,227.25,218.53,228.6,217.5,27.48M,
10/6/2009,232.87,229.89,233.99,227.5,31.85M,
10/7/2009,244.63,233.4,247.4,231,51.98M,
10/8/2009,246.25,250,250,243.92,7.93M,
10/9/2009,247.09,246,249.9,244.66,23.72M,
10/12/2009,238.61,247,247,238,22.23M,
10/13/2009,232.47,237.28,238.47,231.51,19.94M,
10/14/2009,235.46,230.25,237.97,227.25,17.69M,
10/15/2009,230.55,236.5,237.39,229.5,16.56M,
10/16/2009,220.28,229.5,233.9,218.49,55.85M,
10/19/2009,221.29,221.87,223.25,211.66,53.99M,
10/20/2009,219.62,216.26,222.34,216.26,36.68M,
10/21/2009,219.1,221.5,229.9,218.05,39.27M,
10/22/2009,210.3,218.7,218.7,209,29.84M,
10/23/2009,217.13,213,218.5,205.74,36.30M,
10/26/2009,213.93,217.77,217.77,208.44,31.96M,
10/27/2009,220.5,216,222.59,215.5,35.32M,
10/28/2009,231.82,221.5,232.5,221,29.65M,
10/29/2009,236.89,233.8,238.19,232.5,41.83M,
10/30/2009,237.82,236.5,238.45,233,22.42M,
11/2/2009,229.37,237,237.82,227.6,22.26M,
11/3/2009,229.99,227.6,233.3,226.25,21.04M,
11/4/2009,234.55,227.25,237.26,227.25,18.48M,
11/5/2009,235.07,235.98,236,229.66,19.73M,
11/6/2009,232.78,234.76,235.9,231.5,14.66M,
11/9/2009,228.13,232.9,232.91,227,16.90M,
11/10/2009,233.5,228.1,234.6,224.1,26.76M,
11/11/2009,232,234.7,234.7,230.59,21.83M,
11/12/2009,230.56,232,235,229.8,23.25M,
11/13/2009,232.21,230.4,234.4,230.03,15.06M,
11/16/2009,225.47,232.94,232.94,224.55,19.34M,
11/17/2009,224.29,222.16,226.9,214.3,26.62M,
11/18/2009,223.96,228,229.22,221.85,27.83M,
11/19/2009,229.16,224.6,229.8,224.31,17.56M,
11/20/2009,230.9,230.98,235.17,230.16,17.97M,
11/23/2009,235.46,232.9,236.44,230.5,24.35M,
11/24/2009,232.81,233,237.5,232.12,21.76M,
11/25/2009,232.18,233.5,234.97,230.63,18.36M,
11/26/2009,230.73,231.46,232.97,227.88,24.81M,
11/27/2009,229.39,229.77,231.9,227.6,18.70M,
11/30/2009,229.69,229,231.2,227.1,16.62M,
12/1/2009,226.65,231,232.5,226,20.01M,
12/2/2009,224.69,226.7,228.5,224.06,19.59M,
12/3/2009,218.05,226,226,217.5,28.38M,
12/4/2009,215.26,216.95,219,214.6,27.71M,
12/7/2009,216.62,215.12,217.85,212.53,28.00M,
12/8/2009,214.53,215.21,218.1,213.1,18.49M,
12/9/2009,214.57,214.9,216.69,213.51,12.81M,
12/10/2009,216.59,215.5,217.55,215.5,9.52M,
12/11/2009,221,217.09,221.5,217.09,14.13M,
12/14/2009,221.91,223.5,223.5,220.12,11.18M,
12/15/2009,222.01,222.51,223.75,220.78,8.27M,
12/17/2009,222.43,222.2,223.78,221.22,11.24M,
12/18/2009,226.9,223.5,228.37,222.9,24.60M,
12/21/2009,229.12,227.5,230,227.5,11.03M,
12/22/2009,229.21,230.8,231,228.01,11.61M,
12/23/2009,230.58,229.7,231.5,228.5,14.53M,
12/24/2009,229.29,230.6,231,228.11,8.58M,
12/28/2009,228.6,229.4,230.39,228.01,10.45M,
12/29/2009,226.72,229.7,231.27,226.32,14.15M,
12/30/2009,220.32,226.7,227,219.62,22.92M,
